name,key,Life expectancy at birth (years) 2015,Total fertility rate 2015,Deaths due to ischemic heart disease (cases per 100k population) 2010,Deaths due to cancer (cases per 100k population) 2010,Human resources in science and technology (percent) 2016,Population density (people per km^2) 2015,Unemployment rate (percent) 2016,Regional gross domestic product (PPS per inhabitant) 2015,Mean precipitation (mm) Apr-Sep,Mean precipitation (mm) Oct-Mar,Mean temperature (C) Apr-Sep,Mean temperature (C) Oct-Mar
Hovedstaden,DK01,80.6,1.63,,,58.5,695.1,6.6,47100.0,4.21966637505,3.8944445716,13.1201850043,3.25629605187
Sjælland,DK02,80.2,1.82,,,42.3,114.1,6.2,25200.0,4.62541257767,3.95651594798,13.395396278,3.2321427209
Syddanmark,DK03,81.1,1.79,,,41.2,98.6,6.3,33200.0,5.37989896716,5.34394963582,12.8026264075,3.17934339697
Midtjylland,DK04,81.3,1.77,,,45.7,99.0,5.5,32800.0,5.28655552864,5.11626850234,12.6402319802,2.93828703298
Nordjylland,DK05,80.6,1.77,,,40.7,74.1,6.2,30300.0,5.34506469303,5.09551843007,12.6187964545,2.89037047492
Stuttgart,DE11,81.9,1.53,142.0,230.6,48.9,382.6,3.3,46700.0,6.95324542787,5.98786099752,14.5030554665,3.27773151133
Karlsruhe,DE12,81.4,1.46,161.5,240.4,48.6,396.2,3.1,40200.0,6.86480854176,6.14854321656,15.2153081541,4.11000000989
Freiburg,DE13,81.9,1.51,122.0,235.2,45.3,236.0,3.0,34800.0,8.5542122812,7.47589377201,14.3879796808,3.34080811703
Tübingen,DE14,82.0,1.53,132.1,229.3,46.8,202.9,2.6,38700.0,8.28270015717,5.89263893763,14.2351108551,2.93094441096
Oberbayern,DE21,82.1,1.49,135.6,238.7,54.4,259.8,2.4,51400.0,9.8527159161,6.01558028327,13.5824689512,1.85132711243
Niederbayern,DE22,80.4,1.49,161.4,249.5,39.1,116.6,2.0,35200.0,7.51360247685,5.51310262925,13.9449570485,1.81431630636
Oberpfalz,DE23,80.5,1.46,169.9,261.9,40.3,112.2,2.8,37300.0,6.69201001254,5.42936868379,13.6726262642,1.78489899635
Oberfranken,DE24,80.1,1.41,209.4,252.7,41.3,146.3,3.3,33000.0,6.47345542908,5.66057777405,13.9060555776,2.38633328279
Mittelfranken,DE25,80.6,1.48,172.0,250.9,47.7,238.4,2.5,39100.0,6.21159878484,5.37807408086,14.5274070457,2.79660486292
Unterfranken,DE26,81.3,1.47,162.7,239.7,44.3,152.7,2.5,35900.0,6.24165741603,5.82339339786,14.5583797031,3.31087958813
